"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"189","S1",8,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","S1",8,"Nymph","Male","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","S1",8,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","S1",8,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","S1",9,"Adult","Female","Leg",1,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0
"194","S1",9,"Adult","Female","Belly",0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0
"195","S1",9,"Adult","Female","Head",1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
"196","S1",9,"Adult","Female","Tail",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"197","S1",9,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","S1",9,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","S1",9,"Adult","Male","Leg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","S1",9,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"201","S1",9,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","S1",9,"Adult","Male","Tail",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"203","S1",9,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","S1",9,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","S1",9,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","S1",9,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
